#Reps,MilaLexiconPointer,Undotted,POS
161,19687,עתיקה,noun
161,2429,מבחן,noun
161,25389,סורוקה,properName
161,4916,יפו,properName
161,6735,משאב,noun
161,8877,הנחה,noun
161,9248,מאגר,noun
160,10280,טעות,noun
160,1242,דרג,noun
160,14459,מרבית,quantifier
160,15605,עיגל,participle:noun
160,17187,פרלמנט,noun
160,18371,אומה,noun
160,2366,קירה,verb
160,2381,סביר,adjective
160,6098,מטר,noun
160,7116,הוטל,verb
160,9367,צפוני,adjective
159,12386,הבנה,noun
159,2690,אמן,noun
159,6279,נולד,verb
159,7845,קיצוץ,noun
159,8314,דרום,properName
158,11813,שיכון,noun
158,2786,פוצץ,verb
158,3404,חילוץ,noun
158,7045,אוקראינה,properName
158,7083,התברר,participle:verb
158,7316,תקדים,noun
157,10922,שולחן,noun
157,10947,גרעין,noun
157,11268,ניסוי,noun
157,15943,סבל,participle:verb
157,26955,לאו,negation
157,5161,אבי,properName
157,6850,אהרון,properName
157,9097,פרישה,noun
157,9267,טווח,noun
156,12267,בד,noun
156,14250,יובל,properName
156,15822,טול,noun
156,16001,בידי,preposition
156,4638,תקיפה,noun
156,6126,שבעה,numeral
156,6732,חיבר,participle:noun
156,9827,הראה,verb
155,19355,אדיר,adjective
155,20290,חיידק,noun
155,20463,התבטאות,noun
155,4273,מעריב,properName
155,4922,נתיב,noun
155,5564,מבצעי,adjective
154,11537,הכה,verb
154,12842,הגעה,noun
154,12956,חקר,participle:verb
154,14899,לעולם,adverb
154,239,אסטרטגי,adjective
154,24924,ראוי,modal
154,2654,השתלט,verb
154,4218,נדחה,verb
154,5420,גורל,noun
153,14570,בזק,properName
153,14634,שגרירות,noun
153,14969,סמל,noun
153,2100,ארוחה,noun
153,2508,הרכב,noun
153,4294,ביחד,adverb
153,6174,רביץ,properName
153,7880,זיהוי,noun
153,7965,בקבוק,noun
153,9263,יהונתן,properName
153,9879,תופת,noun
152,10694,גורש,verb
152,17137,סחורה,noun
152,3120,אופוזיציה,noun
151,10799,השפיע,verb
151,12770,חול,noun
151,1383,ירייה,noun
151,14444,סכסוך,noun
151,15395,השלים,verb
151,15757,צפה,verb
151,16175,סירב,participle:verb
151,23979,שמש,noun
151,24358,תת,wPrefix
151,2688,לעתים,adverb
151,3696,עצמאי,adjective
151,5694,בסיסי,adjective
151,6389,עינה,participle:noun
151,8109,עובר,verb
151,9348,שיטח,verb
151,9456,משטרתי,adjective
150,10167,המליץ,verb
150,20799,עדכון,noun
150,20996,נחשב,verb
150,21663,מאת,preposition
150,23990,מבין,preposition
150,6300,תחזית,noun
150,6678,הטרים,participle:noun
149,13311,הכרזה,noun
149,19979,זקוק,adjective
149,27175,ארז,properName
149,4234,אימון,noun
149,4877,וייס,properName
149,6158,יפה,adjective
149,6508,צדדי,adjective
149,928,ברוך,adjective
148,12537,חסם,verb
148,14181,האזנה,noun
148,17221,חם,adjective
148,5686,רחוק,adjective
148,6347,פלשתינאי,noun
148,7737,הכרה,noun
147,10511,במקרה,adverb
147,10975,המתין,verb
147,1570,ביית,verb
147,2462,דחף,participle:adjective
147,27517,עמיר,properName
147,3821,רווח,participle:noun
147,6686,הדרכה,noun
147,8305,העסקה,noun
147,9847,העיד,participle:verb
147,9953,תקרית,noun
146,13931,מישהו,pronoun
146,16657,פקד,participle:adjective
146,18525,תכנן,participle:verb
146,2941,קונגרס,noun
146,3756,נגע,participle:verb
146,4238,הגדיל,verb
146,6629,מפני,conjunction
146,8298,הגשה,noun
145,12408,עבר,participle:verb
145,15306,קדם,verb
145,16483,הלוויה,noun
145,17108,התחיל,participle:verb
145,19488,אספקה,noun
145,25650,פוטין,properName
145,6345,העריך,verb
145,6898,נערך,participle:verb
145,9920,מענק,noun
144,10558,חומרה,noun
144,12292,מזרחי,adjective
144,14942,מדען,noun
144,17127,קיים,participle:verb
144,19677,נתניה,properName
144,19951,ידיד,noun
144,4874,עקר,verb
144,6151,פגש,verb
144,8852,הוריד,verb
144,8996,מתכת,noun
144,973,מדי,adverb
143,12262,מנוחה,noun
143,14150,נהג,participle:verb
143,16202,מקורי,adjective
143,18530,התייחסות,noun
143,18906,אווירי,adjective
143,20785,עירה,participle:noun
143,3952,נאשם,participle:noun
143,4085,צורך,noun
143,8734,השתחרר,verb
143,9369,חזה,participle:noun
142,10935,בירור,noun
142,12317,חזן,noun
142,13678,מכר,verb
142,16683,טיעון,noun
142,16758,הצהיר,verb
142,16898,מכלל,noun
142,18192,"אל""מ",noun
142,22154,המוני,adjective
142,2389,"תא""ל",noun
142,7918,פרץ,properName
142,9282,זית,noun
142,93,הרחיב,verb
141,12566,מצבה,noun
141,13494,עז,adjective
141,13745,רץ,verb
141,5105,חיסול,noun
141,6324,יאסר,properName
141,7680,התגורר,verb
141,8085,זכר,verb
140,13332,הובע,verb
140,13590,הכריע,verb
140,14554,עיון,noun
140,15969,רבבה,noun
140,1709,גזירה,noun
140,19577,עמוק,adjective
140,20044,הועלה,verb
140,20323,מנדט,noun
140,23969,למה,interrogative
140,25369,לפיד,properName
140,6794,התעלם,verb
140,9451,איבד,verb
139,10067,סריקה,noun
139,10561,ה',noun
139,11097,הוצא,verb
139,17032,קמפיין,noun
139,20719,הורכב,participle:adjective
139,24550,מגן,properName
139,3947,שימש,participle:verb
139,3986,מנהלי,adjective
139,5402,פולין,properName
139,8080,חלילה,interjection
138,10369,מור,properName
138,10506,נהריה,properName
138,13182,ישן,adjective
138,13306,מין,noun
138,15165,שר,verb
138,20533,הוכחה,noun
138,4474,מבוגר,noun
138,4721,מצעד,noun
138,7136,הופעל,verb
137,0,קל.,properName
137,11491,נחלט,verb
137,12721,קרא,participle:noun
137,13172,הבחין,verb
137,14728,קרה,verb
137,19311,פצע,noun
137,20118,חילול,noun
137,2460,שהה,participle:verb
137,3792,הזמין,verb
137,623,רצח,verb
137,8462,נוף,noun
136,0,פילדלפי,properName
136,18362,התיר,verb
136,19102,רון,properName
136,19446,רישום,noun
136,21144,נבדק,verb
136,330,קרינה,noun
136,7881,בני,properName
135,13001,אפריל,properName
135,16795,תשעה,numeral
135,24520,נאצי,adjective
135,2545,היתר,noun
135,442,סיכם,verb
135,450,מוסלמי,adjective
135,4689,הקיף,participle:adjective
135,6417,תרגיל,noun
135,9862,פירק,verb
134,10066,נפשי,adjective
134,20269,עירוני,adjective
134,27167,אמנון,properName
134,4428,אות,noun
134,4904,לימור,properName
134,65,לימד,participle:verb
134,6798,אסר,verb
134,8404,עמוד,noun
133,16209,ראייה,noun
133,16286,שייח,noun
133,17666,חס,participle:noun
133,19442,סרטן,verb
133,4934,תולדה,noun
133,5580,עיתונות,noun
133,9532,התפטר,verb
132,0,בו.,properName
132,11389,הרג,verb
132,12597,קיבוצי,adjective
132,17716,ערף,participle:noun
132,19127,ניכר,participle:adjective
132,2129,חבלן,noun
132,4001,חלופי,adjective
132,6664,צמוד,adjective
131,10497,התבקש,verb
131,11007,גג,noun
131,11464,יקר,adjective
131,11818,היטב,adverb
131,15943,סבל,verb
131,19286,בגרות,noun
131,20339,עזר,participle:noun
131,20401,לרגל,preposition
131,21210,סבר,verb
131,21740,כך,properName
131,4143,עבד,participle:verb
130,10964,הורשע,verb
130,14534,הסבר,noun
130,158,הגיד,verb
130,16035,הופיע,participle:verb
130,16454,לרבות,adverb
130,16847,התגייס,verb
130,16919,השמיע,verb
130,18228,תיאר,verb
130,19931,שימר,verb
130,20168,לקח,participle:noun
130,3697,זיהום,noun
130,4099,חיוני,adjective
130,5335,שקל,verb
130,6420,העמדה,noun
130,6679,חלקי,adjective
130,9720,רגיש,adjective
129,10562,ברוך,properName
129,11193,בפרט,adverb
129,15254,תחקיר,noun
129,16243,הציג,participle:verb
129,18483,תפס,verb
129,20096,מהומה,noun
129,20255,גבר,noun
129,21239,מדד,noun
129,25159,ג'יהאד,properName
128,10087,תוואי,noun
128,10167,המליץ,participle:verb
128,11116,דונם,noun
128,11586,יצרן,noun
128,11683,מימוש,noun
128,1255,האריך,verb
128,16405,הנחה,verb
128,1679,תעשייתי,adjective
128,17672,ריחק,participle:noun
128,18921,דרש,participle:adjective
128,19624,עדיפות,noun
128,2472,ערעור,noun
128,24732,בין,wPrefix
128,6785,קידש,participle:noun
128,7778,פקיד,noun
127,12727,תבע,participle:noun
127,13133,איים,participle:verb
127,14868,נייר,noun
127,17762,השתלה,noun
127,18913,מעל,verb
127,20166,עיירה,noun
127,21186,שורש,noun
127,21254,העדיף,participle:verb
127,24692,תמורת,preposition
127,25180,מני,properName
127,26802,"בי""ח",noun
127,3663,מנהרה,noun
127,3708,קטין,noun
127,4292,מפרץ,noun
127,720,נפש,noun
127,934,חתם,participle:noun
126,11503,חיובי,adjective
126,1174,מעלה,adverb
126,12739,הופז,participle:noun
126,12776,כרטיס,noun
126,17244,ספר,participle:noun
126,17876,נחת,verb
126,17949,ירק,participle:adjective
126,18536,פשט,participle:adjective
126,18588,קודש,noun
126,18840,"עתי""ם",properName
126,20325,פלוגה,noun
126,4117,זרע,participle:noun
126,8973,דיין,properName
126,9972,באמת,adverb
126,9993,נפילה,noun
125,10655,הוצב,participle:verb
125,11657,מתי,interrogative
125,13168,מסורתי,adjective
125,13901,שיגור,noun
125,15479,בוקש,participle:noun
125,17417,החזיק,verb
125,18382,כשרות,noun
125,19939,שב,participle:noun
125,24592,נוכח,preposition
125,5670,ממש,adverb
125,9361,אמבולנס,noun
124,11198,זבולון,properName
124,11917,רעייה,noun
124,12294,מסחרי,adjective
124,12726,חי,participle:verb
124,14035,האשים,verb
124,14680,קלט,verb
124,15959,נחישות,noun
124,16173,עובדיה,properName
124,16277,התנהל,participle:verb
124,173,פסיקה,noun
124,19729,הרכיב,participle:noun
124,19765,סוכם,verb
124,20350,קומה,noun
124,9431,כן,noun
123,10940,ריבית,noun
123,17157,צילם,verb
123,17635,בגד,noun
123,3354,כתובת,noun
123,4143,עבד,verb
123,5168,עוני,noun
123,7190,צמצם,verb
123,7951,אסף,verb
123,9919,צריכה,noun
122,0,שטרנברג,properName
122,11423,התפרסם,verb
122,11827,פריימריס,noun
122,1257,בדואי,adjective
122,13466,חיווה,verb
122,14528,עוזי,noun
122,15460,פסח,properName
122,16610,שיפר,verb
122,17417,החזיק,participle:verb
122,25158,רייס,properName
122,2879,ליאור,properName
122,3793,השתתף,participle:verb
122,4286,ניצל,verb
122,5526,שעון,noun
122,8161,הגבלה,noun
122,8195,תקין,adjective
122,9787,עתר,verb
122,9904,תפקוד,noun
121,0,ויסולי,properName
121,12998,דבש,noun
121,14636,הזמנה,noun
121,16197,שן,noun
121,16831,גרמני,adjective
121,17122,השגה,noun
121,20187,גשר,noun
121,20884,פלשתין,properName
121,25265,הכהן,properName
121,300,פער,noun
121,4041,חידוש,noun
121,5396,אשדוד,properName
121,7161,אנטישמי,adjective
120,10234,ספר,noun
120,10888,פשוט,adverb
120,11278,כיבוי,noun
120,13096,הפחתה,noun
120,17508,זכאי,adjective
120,18404,מנוגד,adjective
120,20667,שכל,participle:adjective
120,24201,ויצמן,properName
120,384,גינה,verb
120,4526,טון,noun
120,6798,אסר,participle:adjective
120,9605,התפטרות,noun
120,962,מצד,preposition
119,10936,מעקב,noun
119,11493,הקדמה,noun
119,11854,מדים,noun
119,12192,מעשי,adjective
119,12664,העניק,participle:verb
119,15215,ייצר,verb
119,16073,ציווה,participle:noun
119,1760,הונח,verb
119,19094,עצר,participle:adjective
119,20375,כלומר,conjunction
119,2483,בוודאי,adverb
119,25651,בלייר,properName
119,25927,ניצב,verb
119,27469,ניצנים,properName
119,3311,כוכב,noun
119,5002,בוטל,verb
119,7137,התפלל,verb
119,7403,נס,participle:noun
119,8970,פברואר,properName
119,9556,איתן,adjective
119,9674,איראני,adjective
118,0,מעשיהו,properName
118,11204,התקשר,verb
118,11519,רמון,properName
118,14302,הטליבאן,properName
118,1590,משכורת,noun
118,16277,התנהל,verb
118,17867,הביתה,adverb
118,18165,חצה,verb
118,19005,מחה,verb
118,20018,הנדסה,noun
118,20069,יעיל,adjective
118,20841,ידע,noun
118,25883,הפעם,adverb
118,4581,כף,noun
118,4959,הפרטה,noun
118,6932,נבחר,participle:noun
118,8920,חזר,participle:adjective
117,11537,הכה,participle:noun
117,14272,לבנה,noun
117,15257,לשעבר,adverb
117,15624,הותיר,verb
117,17130,גיבש,verb
117,17702,חשוד,adjective
117,17868,אזר,verb
117,18395,ליל,noun
117,19766,התקרב,verb
117,20138,נבחן,verb
117,2164,השתמש,participle:verb
117,24866,קשה,adverb
117,3307,אלדר,properName
117,4403,זירה,noun
117,7893,רוחני,adjective
117,990,סלע,noun
116,10514,גר,verb
116,10812,חיסם,verb
116,12551,מניה,noun
116,17643,רגיעה,noun
116,21616,מכאן,adverb
116,2479,לאות,noun
116,25214,גנדי,properName
116,28033,א',noun
116,5869,חילוני,adjective
116,8230,מהותי,adjective
116,9781,רציני,adjective
115,12240,מועדון,noun
115,13439,בקרה,noun
115,14329,אצבע,noun
115,14943,נשא,participle:verb
115,14980,הזהיר,participle:verb
115,18183,מעט,quantifier
115,24216,טכנולוגי,adjective
115,2489,השקיע,verb
115,26598,אנטי,wPrefix
115,28038,ו',noun
115,28581,פסח,properName
115,3539,ביניים,noun
115,3684,תיקן,verb
115,6015,השמדה,noun
115,6956,סל,noun
115,7574,עיכוב,noun
115,7734,הרצל,properName
114,10674,ממושך,adjective
114,11681,ענה,participle:noun
114,12291,התבצע,participle:verb
114,13491,בלילה,noun
114,13516,שכן,noun
114,14035,האשים,participle:verb
114,15817,פוטנציאל,noun
114,16425,הקצה,verb
114,16462,טראומה,noun
114,16794,יובא,verb
114,16876,סופי,adjective
114,17500,סייע,participle:verb
114,18020,גלעד,properName
114,19931,שימר,participle:noun
114,20244,איתור,noun
114,21210,סבר,participle:adjective
114,21718,פינקלשטיין,properName
114,24915,חשוב,modal
114,4914,הדריך,participle:noun
114,7485,ענק,noun
113,10675,קנס,noun
113,11832,יונתן,properName
113,13171,ספינה,noun
113,18595,ביצע,participle:verb
113,18663,נסוג,verb
113,2318,חפירה,noun
113,23976,ותיק,adjective
113,25288,שומר,properName
113,3420,דגש,noun
113,7116,הוטל,participle:verb
113,8241,קיבל,participle:noun
112,0,"ביהמ""ש",properName
112,10825,אוחר,participle:adjective
112,13555,הפצה,noun
112,13648,חורף,noun
112,15336,הצליח,participle:verb
112,15988,סופה,noun
112,17318,הצביע,participle:verb
112,19210,יישם,verb
112,5554,התפנה,verb
112,6601,ויכוח,noun
112,7904,הגדיר,participle:verb
112,8901,בעצם,adverb
112,9155,חיפש,verb
111,11034,נהנה,verb
111,11465,הרגיש,participle:verb
111,12784,בורסה,noun
111,13510,חירות,noun
111,14105,מיקום,noun
111,15129,אימץ,verb
111,15657,"רמב""ם",properName
111,16178,ירדני,adjective
111,18635,פנסיה,noun
111,19743,פיסי,adjective
111,20650,חמישים,numeral
111,28559,דוקטור,noun
111,4371,סילבן,properName
111,7537,רחבה,noun
111,7625,עצם,participle:noun
111,9827,הראה,participle:verb
110,11161,ריכוז,noun
110,13845,חינוכי,adjective
110,15273,מימש,verb
110,17170,משלוח,noun
110,19529,יתרון,noun
110,19598,השלכה,noun
110,20829,קרוב,noun
110,240,האמין,verb
110,24730,בודד,adjective
110,268,הוגדר,participle:verb
110,3078,הוכרז,verb
110,4971,ביולוגי,adjective
110,9426,הוענק,verb
110,9461,כיפה,noun
109,12618,אינתיפאדה,noun
109,12642,חיבור,noun
109,13145,טייל,verb
109,15080,חום,noun
109,15454,עתידי,adjective
109,15611,יחסית,adverb
109,16102,שילב,verb
109,20071,קטע,noun
109,21665,"קק""ל",properName
109,2889,פירוק,noun
109,3022,כמה,interrogative
109,4915,מעטפה,noun
109,564,אלקטרוני,adjective
109,6283,יממה,noun
109,7675,כימי,adjective
109,8907,נכח,verb
108,11946,חלופה,noun
108,13643,אבטח,participle:noun
108,14620,בחר,participle:noun
108,15558,חסינות,noun
108,17567,תפוצה,noun
108,17983,ייצא,verb
108,18034,קאסם,noun
108,19792,מודל,noun
108,20027,שמחה,noun
108,21833,באחרונה,adverb
108,24661,מעין,preposition
108,3754,נצר,noun
108,5176,זר,noun
108,5286,התערבות,noun
108,8115,שמחון,properName
107,0,שם.,properName
107,12883,חשב,participle:verb
107,12978,ערן,properName
107,13386,יצר,participle:noun
107,14096,מיון,noun
107,15002,תיאטרון,noun
107,18695,אחראי,adjective
107,20976,ארכיון,noun
107,2264,תוכנן,participle:verb
107,268,הוגדר,verb
107,3756,נגע,participle:noun
107,411,מת,verb
107,4944,הוקרה,noun
107,5348,גס,adjective
107,5516,הוכיח,participle:verb
107,73,ארגן,verb
106,0,ר',properName
106,10564,עצמי,adjective
106,10873,היבט,noun
106,11385,משמש,verb
106,15190,שבע,verb
106,15573,הרצה,verb
106,16791,התנה,verb
106,17873,מימן,verb
106,18931,קבע,participle:verb
106,19589,נלקח,verb
106,21254,העדיף,verb
106,3265,מילה,noun
106,3890,נימוק,noun
106,4471,יקיר,noun
106,470,טמפרטורה,noun
106,5495,פריצה,noun
106,6759,חלף,verb
106,8183,רגל,noun
105,109,שרה,properName
105,12628,סיכל,verb
105,1318,סיני,adjective
105,13777,תוכנה,noun
105,18535,הבטיח,participle:verb
105,18831,התאפשר,verb
105,19820,קדושה,noun
105,21241,סם,noun
105,24664,עיקר,quantifier
105,2489,השקיע,participle:noun
105,267,חרדי,noun
105,3136,פרוטוקול,noun
105,3673,הרים,verb
105,4004,מספר,noun
105,5560,קריסה,noun
105,648,קשיש,noun
105,8442,אכל,participle:noun
105,8785,שלושים,numeral
105,9606,תוצרת,noun
105,9874,פתר,verb
104,10757,חגיגה,noun
104,11591,אחז,participle:noun
104,14728,קרה,participle:verb
104,15674,הרוג,noun
104,17214,נוסח,noun
104,17988,חקר,noun
104,1880,לקח,noun
104,19014,יוצג,verb
104,2693,הרצאה,noun
104,4672,פז,properName
104,568,עיקר,noun
104,5990,שחקן,noun
104,6587,חיצוני,adjective
104,6603,כונה,participle:verb
104,6910,אזרחות,noun
104,8070,צער,noun
104,8494,מוח,noun
104,8876,שלשום,adverb
103,0,אש.,properName
103,1051,נתקל,verb
103,11330,הורשה,participle:noun
103,11441,מיעוט,noun
103,1170,מאי,properName
103,13466,חיווה,participle:noun
103,13765,חצר,noun
103,13957,שירת,participle:verb
103,15798,צמצום,noun
103,1703,שריד,noun
103,17471,צנחן,noun
103,17901,כוננות,noun
103,19300,הושלך,verb
103,19465,וידאו,noun
103,2095,התמקד,verb
103,236,החזרה,noun
103,26120,הלכתי,adjective
103,27835,למעט,preposition
103,2788,תקשורתי,adjective
103,28029,בעצם,adverb
103,3762,קילוגרם,noun
103,7104,שי,properName
103,8868,עמוס,properName
103,9713,העסיק,participle:noun
102,1072,עקיבא,properName
102,11069,סדיר,adjective
102,11808,עיסוק,noun
102,13351,הופעה,noun
102,15432,מלונה,noun
102,15995,מלבד,preposition
102,18281,שטרית,properName
102,18933,הכיל,participle:verb
102,19433,עברית,properName
102,3809,וידא,verb
102,4382,נוח,adjective
102,5543,טכניון,noun
102,5672,הסעה,noun
102,5784,יצואן,noun
102,657,מסגד,noun
102,816,סוכה,noun
102,9092,מודע,adjective
102,9945,נטען,verb
101,10152,חולק,verb
101,12645,רבעון,noun
101,12715,מחסור,noun
101,13322,נלכד,verb
101,15506,שקר,noun
101,15545,לאלתר,adverb
101,15617,חץ,noun
101,15873,מסורת,noun
101,16240,תשומה,noun
101,16853,קנייה,noun
101,16925,לבנון,noun
101,16970,הגברה,noun
101,19089,הפעיל,participle:verb
101,19246,שטף,participle:adjective
101,20291,חומש,noun
101,20929,חיסל,verb
101,3189,סיכן,participle:verb
101,5213,ציור,noun
101,6500,יציבות,noun
101,7885,צרכים,noun
100,11044,מבזק,noun
100,13584,לחץ,verb
100,1887,במה,noun
100,18919,נמנע,participle:noun
100,189,נישואין,noun
100,19071,פותח,verb
100,24056,ניצל,verb
100,27,הותקף,verb
100,2993,כישלון,noun
100,4163,שליח,noun
100,6997,נשאל,verb
100,7933,סייר,verb
100,8360,ערך,participle:adjective
99,10600,הכחיש,verb
99,11094,עמית,noun
99,11210,טורקיה,properName
99,1166,כיוון,verb
99,11807,ליווה,participle:verb
99,12075,קהילתי,adjective
99,14498,חידש,verb
99,14808,למד,participle:verb
99,15417,אתגר,noun
99,15821,השכלה,noun
99,18584,השלמה,noun
99,1869,בירר,verb
99,1920,מוטי,properName
99,19615,העלאה,noun
99,20168,לקח,participle:verb
99,24699,הרצליה,properName
99,3159,קריטריון,noun
99,3189,סיכן,verb
99,4020,הקשר,noun
99,4272,התערב,verb
99,467,מגבלה,noun
99,6088,בגדר,preposition
99,6214,נפט,noun
99,6801,פנה,participle:noun
99,6964,הודו,properName
99,7092,הצטרף,participle:verb
99,7159,נהייה,noun
99,9231,העתיק,verb
98,0,מצגר,properName
98,0,סנינה,properName
98,0,קראדי,properName
98,10485,התריע,verb
98,10987,תחילה,adverb
98,11465,הרגיש,verb
98,11853,יער,noun
98,11954,הכי,adverb
98,12616,חרם,noun
98,12673,עשור,noun
98,12924,אהב,verb
98,13677,עיכב,verb
98,13678,מכר,participle:adjective
98,1447,גיבור,noun
98,14681,מסעדה,noun
98,1534,רחל,properName
98,20065,עשייה,noun
98,2044,הורדה,noun
98,21068,הארכה,noun
98,21653,החודש,adverb
98,2202,רלוונטי,adjective
98,2277,אלמן,noun
98,24725,ארצה,adverb
98,26766,"פצמ""ר",noun
98,3183,עור,noun
98,4422,דגם,participle:noun
98,4918,מכס,noun
98,6307,שלילי,adjective
98,727,רובה,noun
98,8632,אווירה,noun
98,9023,נמרץ,adjective
98,9179,משך,verb
97,11164,התקדמות,noun
97,1251,קוב,noun
97,14797,קצבה,noun
97,16109,צינור,noun
97,16287,תהלוכה,noun
97,17671,איסוף,noun
97,18080,יורם,properName
97,18813,קנה,verb
97,19546,ריאה,noun
97,20514,הפצצה,noun
97,21541,אל,negation
97,21607,נאות,adjective
97,4045,אקדח,noun
97,6930,איילון,properName
97,7618,הפיכה,noun
97,761,רעב,noun
96,0,דרוקמן,properName
96,12385,יושב,verb
96,12408,עבר,participle:noun
96,12638,הבדל,noun
96,16183,התקדם,participle:adjective
96,17440,פסטיבל,noun
96,17535,מאהל,noun
96,17642,פנטגון,noun
96,17759,פחד,noun
96,17779,עזר,noun
96,212,מחזור,noun
96,24314,היות,noun
96,4026,תיעש,verb
96,7705,סטטיסטיקה,noun
96,9370,ויתור,noun
96,9748,פירט,verb
96,9751,התרעה,noun
95,0,פטריארך,properName
95,10703,דיבר,participle:noun
95,12229,הסתפק,verb
95,12557,שיפוט,noun
95,12788,תבערה,noun
95,14956,צי,noun
95,16628,שלל,verb
95,1866,פרסם,participle:verb
95,20594,ליקוי,noun
95,20715,קשר,participle:adjective
95,2152,זהב,noun
95,24771,יתום,adjective
95,24904,מותר,modal
95,28043,מיטב,noun
95,2934,פיסק,verb
95,3023,פרש,participle:adjective
95,4338,שיח,noun
95,5836,שיפוץ,noun
95,5844,ממוצע,adjective
95,5993,חד,participle:adjective
95,7380,יוצר,verb
95,7453,פיטר,verb
95,8444,התרחש,participle:noun
95,9098,ניקיון,noun
95,9435,אחדות,noun
95,9827,הראה,participle:noun
94,12907,חבר,participle:noun
94,12941,מהר,adverb
94,13893,אנטנה,noun
94,14010,דצמבר,properName
94,15573,הרצה,participle:noun
94,15651,מרץ,noun
94,18165,חצה,participle:noun
94,19114,בריכה,noun
94,19725,ירק,noun
94,19862,בדק,participle:verb
94,20283,נצר,properName
94,20518,ראובן,properName
94,20771,נווה,noun
94,20860,הוזעק,verb
94,5205,יומי,adjective
94,6076,רצה,verb
94,84,השליש,verb
93,0,"מח""ש",properName
93,10253,קניון,noun
93,10601,יונה,properName
93,1065,צפת,properName
93,11520,פקיסטן,properName
93,12326,יווני,adjective
93,12737,גיור,noun
93,13388,עומק,noun
93,15970,צעד,verb
93,17425,סכין,noun
93,17742,טבריה,properName
93,17883,קבלן,noun
93,18097,גולני,properName
93,19968,הובעת,verb
93,21206,"מח""ט",noun
93,2759,רן,properName
93,2869,ריפא,participle:noun
93,2901,העביר,participle:verb
93,2974,שאל,participle:verb
93,3156,תקלה,noun
93,4525,חויב,participle:noun
93,6723,נחלה,noun
93,7665,עוז,properName
93,7725,הטבה,noun
93,9318,שילם,participle:verb
92,0,הנתקות,properName
92,10177,שכבה,noun
92,11745,אפרים,properName
92,12090,טופל,verb
92,1363,התייצב,verb
92,149,יהושע,properName
92,16503,טרנספר,noun
92,17053,הותר,verb
92,17442,מתח,verb
92,17701,פשרה,noun
92,18512,נתן,properName
92,18736,התרסק,verb
92,18931,קבע,participle:noun
92,19264,בשר,noun
92,19841,קדוש,noun
92,20905,הנהיג,verb
92,2092,ניידת,noun
92,24836,בגין,properName
92,27492,עדי,properName
92,6346,חדר,verb
92,8290,אבטלה,noun
92,8584,סעד,noun
92,9009,שליש,numeral
92,9386,תקציבי,adjective
91,12196,לכבוד,preposition
91,13015,סלולארי,adjective
91,13031,להלן,adverb
91,13077,הפר,verb
91,13588,הוצע,participle:verb
91,15799,איתמר,properName
91,15946,אפריקה,properName
91,17216,נפרד,participle:adjective
91,17568,טיפל,participle:verb
91,17693,חלץ,participle:noun
91,1817,אידיאולוגי,adjective
91,18909,סיכול,noun
91,19174,דף,noun
91,19376,בריא,adjective
91,20917,לגיטימציה,noun
91,246,מישור,noun
91,26291,לאן,interrogative
91,2731,ארון,noun
91,4525,חויב,participle:verb
91,6302,רע,adjective
91,6744,ספורט,noun
91,7391,גידר,verb
91,7959,שקט,adjective
91,8659,זז,verb
91,9022,מצא,participle:verb
91,9125,מנגד,conjunction
91,9732,התרסקות,noun
90,10444,הצבה,noun
90,10465,סחר,participle:noun
90,11537,הכה,participle:verb
90,12402,הפיץ,verb
90,12463,זמר,noun
90,13198,יסודי,adjective
90,14823,עיראקי,adjective
90,14911,אסף,properName
90,15472,במאי,noun
90,16099,חסד,noun
90,1616,זכה,participle:verb
90,16659,הוצג,participle:verb
90,1800,יזם,noun
90,19368,הוסלם,participle:noun
90,19846,צמיג,noun
90,21671,שווי,noun
90,24754,די,quantifier
90,26576,מלח,noun
90,3407,שמח,adjective
90,3499,הרצוג,properName
90,376,עשה,participle:noun
90,6240,הספיק,verb
90,6411,בגר,participle:noun
90,8536,סגל,properName
90,9783,שבר,noun
89,12029,חלש,adjective
89,12080,חדירה,noun
89,12451,הוסר,verb
89,13580,חזון,noun
89,15159,נחקר,verb
89,16236,חלון,noun
89,16297,נכשל,verb
89,18129,לולב,noun
89,19557,זוהה,verb
89,20038,איזרח,verb
89,2264,תוכנן,verb
89,25264,קוק,properName
89,28035,ג',noun
89,3331,פועלים,properName
89,4801,חריפות,noun
89,6127,שיירה,noun
89,6798,אסר,participle:verb
89,7198,נע,verb
89,777,אחמד,properName
89,7911,צלף,noun
89,9433,הודה,participle:verb
89,9550,קלקיליה,properName
89,9830,גזר,noun
88,10383,צמח,noun
88,11111,נכון,participle:noun
88,11401,חישש,verb
88,11643,קפה,noun
88,12342,אן,properName
88,12739,הופז,participle:verb
88,13099,משפטן,noun
88,13257,התבטא,verb
88,13412,חזרה,noun
88,13865,קרע,noun
88,13948,עפולה,properName
88,18079,התנדבות,noun
88,18942,שביל,noun
88,27006,התגלה,verb
88,3798,הענקה,noun
88,6703,ירון,properName
88,7137,התפלל,participle:noun
88,7270,מסוף,noun
88,7517,רגש,noun
88,8209,תכשיט,noun
87,12541,חוסן,noun
87,12651,בעין,adverb
87,14372,עבריין,noun
87,14582,הסרה,noun
87,14931,אילף,verb
87,14967,רשם,verb
87,15889,עצמונה,properName
87,16440,לאום,noun
87,18228,תיאר,participle:verb
87,19089,הפעיל,participle:noun
87,20184,מנשה,properName
